feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
heatingqc_TA,6.851044524915255e-09,,6.851044524915255e-09,1,0.01717491237966271,0.07915555587169276,-0.005615378177026287,132.0,48.0,39.0,245.0,116.0,206.0
exterqual_Gd,6.0711476705695095e-09,,6.0711476705695095e-09,1,0.025252031850852577,0.20671890938295734,0.013340418064035475,133.0,39.0,15.0,72.0,64.75,118.0
bsmtfintype2_BLQ,5.941914352197337e-09,,5.941914352197337e-09,1,0.0013840856652066892,0.0,0.0,134.0,188.0,252.0,157.5,182.875,118.0
bsmtfintype1_BLQ,2.678427766309762e-09,,2.678427766309762e-09,1,0.006294830636983391,0.0248742684642711,0.00027602758709690536,135.0,98.0,90.0,86.0,102.25,49.0
landcontour_Low,2.5213603342885246e-09,,2.5213603342885246e-09,1,0.0021242158602028127,0.0,0.0,136.0,163.0,252.0,157.5,177.125,116.0
salecondition_Alloca,2.1141601809827063e-09,,2.1141601809827063e-09,1,0.0006773096630933959,0.0,-0.001682576305756811,137.0,217.0,252.0,239.0,211.25,115.0
extercond_Fa,1.5027302190853396e-09,,1.5027302190853396e-09,1,0.0021905326154592806,0.01529324929050535,-0.0003916555731848348,138.0,160.0,119.0,233.0,162.5,114.0
landslope_Mod,1.047024349830592e-09,,1.047024349830592e-09,1,0.0025609314064930955,0.0,-0.00014716674559167586,139.0,149.0,252.0,228.0,192.0,113.0
mszoning_C (all),8.209781619718988e-10,,8.209781619718988e-10,1,0.00047537021362413316,0.0053949215228228375,0.0,140.0,232.0,175.0,157.5,176.125,92.0
bsmtfintype2_Rec,7.795676287384409e-10,,7.795676287384409e-10,1,0.002849606276306014,0.005267843617125845,0.0,141.0,144.0,177.0,157.5,154.875,36.0
lotconfig_Inside,7.18375362823937e-10,,7.18375362823937e-10,1,0.005523891455773579,0.013973581295066984,-0.00416327096245368,142.0,105.0,126.0,243.0,154.0,138.0
heatingqc_Gd,6.970555322305463e-10,,6.970555322305463e-10,1,0.005855993678665407,0.015537222634178116,-0.0008841841270623263,143.0,104.0,118.0,235.0,150.0,131.0
housestyle_1.5Fin,6.957018272854353e-10,,6.957018272854353e-10,1,0.009141678238623085,0.031753240371139135,0.000241924657166237,144.0,82.0,75.0,87.0,97.0,69.0
bldgtype_Twnhs,5.331939944068138e-10,,5.331939944068138e-10,1,0.004340272417852929,0.013159098510587386,0.0,145.0,119.0,132.0,157.5,138.375,38.5
condition2_Norm,3.8004909720466313e-10,,3.8004909720466313e-10,1,0.0012531922380807359,0.0,0.0,146.0,192.0,252.0,157.5,186.875,106.0
